run [pow 10]	solution val	
1	0.210825	
2	0.23807	
3	0.249857	
4	0.239315	
5	0.231974	
6	0.237127	
7	0.227698	
8	0.234115	
9	0.231444	
10	0.239428	
11	0.235389	
12	0.236451	
13	0.232115	
14	0.227686	
15	0.224953	
16	0.232647	
17	0.228786	
18	0.228977	
19	0.226655	
20	0.227832	
21	0.229462	
22	0.226851	
23	0.232548	
24	0.230834	
25	0.230058	
26	0.233616	
27	0.23133	
28	0.231282	
29	0.2306	
30	0.229631	
31	0.228372	
32	0.226935	
33	0.227554	
34	0.227674	
35	0.226879	
36	0.225363	
37	0.224797	
38	0.225564	
39	0.224489	
40	0.223371	
41	0.222186	
42	0.220911	
43	0.219733	
44	0.218528	
45	0.220118	
46	0.219813	
47	0.218856	
48	0.219528	
49	0.22052	
50	0.221973	
51	0.221556	
52	0.223767	
53	0.223947	
54	0.223275	
55	0.225511	
56	0.224655	
57	0.224838	
58	0.225182	
59	0.225587	
60	0.225057	
61	0.225209	
62	0.225951	
63	0.225572	
64	0.225147	
65	0.224567	
66	0.22418	
67	0.224609	
68	0.223907	
69	0.224186	
70	0.223989	
71	0.223463	
72	0.224688	
73	0.224202	
74	0.223532	
75	0.224521	
76	0.225114	
77	0.226096	
78	0.225675	
79	0.226052	
80	0.225565	
81	0.224972	
82	0.225042	
83	0.224419	
84	0.223744	
85	0.223289	
86	0.224045	
87	0.224032	
88	0.22441	
89	0.223892	
90	0.223619	
91	0.223313	
92	0.22282	
93	0.222261	
94	0.221905	
95	0.221516	
96	0.221194	
97	0.220938	
98	0.22142	
99	0.22217	
100	0.222184	
101	0.222523	
102	0.222048	
103	0.221687	
104	0.221752	
105	0.22144	
106	0.220996	
107	0.221229	
108	0.221265	
109	0.221165	
110	0.221004	
111	0.220586	
112	0.220314	
113	0.220109	
114	0.220008	
115	0.219546	
116	0.219719	
117	0.21974	
118	0.220209	
119	0.220058	
120	0.219746	
121	0.219699	
122	0.219317	
123	0.21938	
124	0.21984	
125	0.22026	
126	0.219842	
127	0.21953	
128	0.219205	
129	0.218925	
130	0.218818	
131	0.21858	
132	0.21852	
133	0.218331	
134	0.218524	
135	0.218427	
136	0.218407	
137	0.218609	
138	0.218656	
139	0.218488	
140	0.218267	
141	0.218367	
142	0.218454	
143	0.218331	
144	0.218111	
145	0.218111	
146	0.217923	
147	0.217903	
148	0.218639	
149	0.218686	
150	0.218416	
151	0.218156	
152	0.218571	
153	0.218265	
154	0.217931	
155	0.218639	
156	0.21847	
157	0.218291	
158	0.218999	
159	0.218741	
160	0.219384	
161	0.219191	
162	0.219239	
163	0.219989	
164	0.220328	
165	0.220445	
166	0.220483	
167	0.220252	
168	0.220815	
169	0.220846	
170	0.220637	
171	0.220531	
172	0.220583	
173	0.220436	
174	0.220806	
175	0.220776	
176	0.22084	
177	0.221398	
