nDimensions,nThreads,nPaths,result,relErrror,exacltSolution,eps,avgPath,avgNumSteps,compTime,initTime,finishTime,totalTime
2,2,10,0.307373,0.0430537,0.294685,0.316228,1.13106,2,0.000344,0.000557,5.2e-05,0.141831
3,4,10,0.171336,inf,0,0.316228,1.20634,2,0.000341,0.000545,5.3e-05,0.142703
4,4,10,0.175446,inf,0,0.316228,1.29328,2.2,0.000334,0.000533,5.1e-05,0.155397
5,8,10,0.129889,inf,0,0.316228,1.36435,2.5,0.000355,0.00056,5.3e-05,0.138218
6,8,10,0.108957,inf,0,0.316228,1.53932,2.8,0.000369,0.000591,5.5e-05,0.168035
7,8,10,0.0946206,inf,0,0.316228,1.6563,3,0.000345,0.000552,5.3e-05,0.145648
8,8,10,0.108279,inf,0,0.316228,1.73725,3.2,0.000342,0.00053,5.2e-05,0.148163
9,16,10,0.080775,inf,0,0.316228,2.23187,4.2,0.000357,0.000545,5.3e-05,0.14022
10,16,10,0.0796839,inf,0,0.316228,2.31718,4.4,0.000349,0.000532,5.1e-05,0.152201
11,16,10,0.0849094,inf,0,0.316228,2.5464,5,0.000351,0.000546,5.4e-05,0.154348
16,16,10,0.0767199,inf,0,0.316228,2.99928,6,0.000354,0.000544,7.6e-05,0.142848
32,32,10,0.0505143,inf,0,0.316228,4.48307,9,0.000372,0.000546,5.2e-05,0.142963
64,64,10,0.038306,inf,0,0.316228,7.65852,15.6,0.000404,0.000563,5.5e-05,0.14274
128,128,10,0.0303748,inf,0,0.316228,13.3584,26.9,0.000401,0.000542,5.3e-05,0.14814
256,256,10,0.0225569,inf,0,0.316228,19.6198,38.6,0.000419,0.000533,5.3e-05,0.146876
257,512,10,0.0233385,inf,0,0.316228,22.2136,44.7,0.00047,0.001027,0.000118,0.148349
532,1024,10,0.0191538,inf,0,0.316228,39.7205,81.1,0.000624,0.000999,0.000114,0.135562
1024,1024,10,0.0859686,inf,0,0.316228,78.6664,167.1,0.00107,0.001002,0.000117,0.153328
2,2,100,0.299308,0.0156858,0.294685,0.1,1.30153,3.25,0.000359,0.000546,5.4e-05,0.139017
3,4,100,0.205571,inf,0,0.1,1.6812,4.46,0.000378,0.000561,5.6e-05,0.143353
4,4,100,0.18172,inf,0,0.1,2.07671,6.05,0.000371,0.000532,5.3e-05,0.136429
5,8,100,0.146145,inf,0,0.1,2.39269,7.29,0.000371,0.000532,5.3e-05,0.151392
6,8,100,0.130203,inf,0,0.1,2.6421,8.27,0.000372,0.000546,5.4e-05,0.151317
7,8,100,0.12013,inf,0,0.1,2.97263,9.33,0.000388,0.000545,5.4e-05,0.143102
8,8,100,0.121225,inf,0,0.1,3.31914,10.98,0.000383,0.000532,5.3e-05,0.15037
9,16,100,0.109493,inf,0,0.1,4.03401,13.49,0.000416,0.00053,5.4e-05,0.136863
10,16,100,0.103626,inf,0,0.1,4.29695,14.38,0.000412,0.000561,5.4e-05,0.144507
11,16,100,0.0976743,inf,0,0.1,4.59206,15.47,0.000409,0.000584,5.2e-05,0.151383
16,16,100,0.0878418,inf,0,0.1,6.27224,21.76,0.00047,0.00056,5.5e-05,0.140621
32,32,100,0.0697873,inf,0,0.1,11.1479,40.42,0.000529,0.000586,5.5e-05,0.139931
64,64,100,0.0562809,inf,0,0.1,19.2394,70.27,0.000632,0.000574,5.2e-05,0.148731
128,128,100,0.0471586,inf,0,0.1,34.0367,127.01,0.000859,0.000573,5.4e-05,0.138816
256,256,100,0.0403605,inf,0,0.1,60.3667,231.28,0.001285,0.000556,5.3e-05,0.140547
257,512,100,0.0391403,inf,0,0.1,57.5712,214.49,0.001295,0.001007,0.000125,0.148267
532,1024,100,0.0336826,inf,0,0.1,111.256,435.37,0.004039,0.001026,0.00012,0.15306
1024,1024,100,0.0405296,inf,0,0.1,192.55,760.02,0.008196,0.001056,0.000128,0.16988
2,2,1000,0.293895,0.00268265,0.294685,0.0316228,1.53582,4.905,0.000405,0.001023,0.000124,0.154088
3,4,1000,0.21783,inf,0,0.0316228,2.13331,8.198,0.00042,0.001025,0.000125,0.144916
4,4,1000,0.18608,inf,0,0.0316228,2.69203,11.216,0.000426,0.001042,0.000122,0.134681
5,8,1000,0.159936,inf,0,0.0316228,3.29124,14.705,0.000451,0.001034,0.000123,0.154337
6,8,1000,0.145401,inf,0,0.0316228,3.84774,17.907,0.000494,0.001033,0.000124,0.148407
7,8,1000,0.134164,inf,0,0.0316228,4.39419,21.168,0.00052,0.00103,0.000124,0.163518
8,8,1000,0.128941,inf,0,0.0316228,4.87279,23.77,0.000488,0.001024,0.000125,0.14206
9,16,1000,0.119035,inf,0,0.0316228,5.58855,27.55,0.000574,0.001001,0.000122,0.142981
10,16,1000,0.113534,inf,0,0.0316228,6.02026,30.247,0.000584,0.001025,0.000125,0.152466
11,16,1000,0.109245,inf,0,0.0316228,6.54885,33.326,0.000597,0.001028,0.000184,0.15024
16,16,1000,0.0965526,inf,0,0.0316228,8.91891,47.275,0.000619,0.001033,0.00012,0.14277
32,32,1000,0.0768027,inf,0,0.0316228,15.8619,90.348,0.000845,0.001003,0.000122,0.15357
64,64,1000,0.063487,inf,0,0.0316228,28.5079,169.512,0.001909,0.001056,0.000136,0.174148
128,128,1000,0.0529712,inf,0,0.0316228,49.2049,297.645,0.003788,0.001025,0.000123,0.156711
256,256,1000,0.0456606,inf,0,0.0316228,87.4932,554.015,0.010898,0.001049,0.000121,0.148209
257,512,1000,0.0456457,inf,0,0.0316228,89.0531,566.878,0.013455,0.00053,5.7e-05,0.165397
532,1024,1000,0.0391174,inf,0,0.0316228,169.2,1110.78,0.066237,0.000546,6e-05,0.21886
1024,1024,1000,0.026057,inf,0,0.0316228,298.609,2024.6,0.243862,0.000558,6e-05,0.403668
2,2,10000,0.294524,0.00054642,0.294685,0.01,1.61805,6.5558,0.000578,0.001031,0.000177,0.149496
3,4,10000,0.221747,inf,0,0.01,2.32259,11.8154,0.000701,0.001003,0.000174,0.140409
4,4,10000,0.18721,inf,0,0.01,3.01693,17.1563,0.000895,0.001079,0.000179,0.141712
5,8,10000,0.164284,inf,0,0.01,3.68128,22.6826,0.001015,0.001078,0.000179,0.139445
6,8,10000,0.149479,inf,0,0.01,4.35605,27.9255,0.001154,0.000997,0.000171,0.140348
7,8,10000,0.138345,inf,0,0.01,4.95896,32.8918,0.001293,0.001024,0.000179,0.151875
8,8,10000,0.13086,inf,0,0.01,5.60295,38.1144,0.001412,0.001001,0.000172,0.141917
9,16,10000,0.123307,inf,0,0.01,6.274,43.5015,0.001559,0.001054,0.000178,0.142229
10,16,10000,0.117798,inf,0,0.01,6.84435,48.254,0.001858,0.00103,0.000178,0.150643
11,16,10000,0.113216,inf,0,0.01,7.41485,53.0206,0.001791,0.001026,0.000176,0.145377
16,16,10000,0.0983194,inf,0,0.01,10.2166,77.4695,0.002487,0.001081,0.000183,0.144514
32,32,10000,0.0784754,inf,0,0.01,18.255,149.44,0.004245,0.001045,0.000173,0.153938
64,64,10000,0.0648816,inf,0,0.01,32.78,286.156,0.013251,0.001055,0.000174,0.148588
128,128,10000,0.0552932,inf,0,0.01,59.0046,544.351,0.063455,0.001029,0.00018,0.207527
256,256,10000,0.0480538,inf,0,0.01,107.122,1034.84,0.290111,0.001205,0.000196,0.455403
257,512,10000,0.0480142,inf,0,0.01,107.456,1037.21,0.317371,0.001021,0.000176,0.470651
532,1024,10000,0.040779,inf,0,0.01,203.736,2059.12,0.974274,0.001023,0.000174,1.13151
1024,1024,10000,0.0215074,inf,0,0.01,361.038,3790.07,2.59407,0.001001,0.000172,2.74529
2,2,100000,0.295225,0.0018306,0.294685,0.00316228,1.65183,8.17078,0.002597,0.001019,0.000501,0.152304
3,4,100000,0.223715,inf,0,0.00316228,2.38789,15.5893,0.00432,0.001052,0.000501,0.146223
4,4,100000,0.188795,inf,0,0.00316228,3.13656,23.1285,0.005973,0.000997,0.000483,0.151345
5,8,100000,0.165858,inf,0,0.00316228,3.84601,30.573,0.007748,0.00117,0.000531,0.15771
6,8,100000,0.150896,inf,0,0.00316228,4.55425,38.1191,0.009617,0.0018,0.00069,0.168766
7,8,100000,0.139974,inf,0,0.00316228,5.23468,45.4467,0.011106,0.00108,0.000501,0.159701
8,8,100000,0.1318,inf,0,0.00316228,5.91211,52.9363,0.012854,0.000999,0.000485,0.15581
9,16,100000,0.124794,inf,0,0.00316228,6.54593,60.0048,0.014601,0.001,0.000486,0.158294
10,16,100000,0.119315,inf,0,0.00316228,7.18347,67.223,0.01616,0.001017,0.000485,0.170479
11,16,100000,0.114611,inf,0,0.00316228,7.80155,74.2875,0.017664,0.001023,0.000484,0.172726
16,16,100000,0.0994749,inf,0,0.00316228,10.8266,109.55,0.025557,0.001076,0.000493,0.170196
32,32,100000,0.0791462,inf,0,0.00316228,19.4691,216.473,0.069346,0.001025,0.000489,0.222702
64,64,100000,0.0655669,inf,0,0.00316228,35.0792,420.612,0.31319,0.001026,0.000489,0.45696
128,128,100000,0.0558976,inf,0,0.00316228,63.6652,816.067,0.816373,0.001001,0.000512,0.96652
256,256,100000,0.0486696,inf,0,0.00316228,116.247,1575.56,2.35908,0.001025,0.000493,2.50743
257,512,100000,0.0486581,inf,0,0.00316228,116.835,1586.51,2.85511,0.000999,0.000487,3.00916
532,1024,100000,0.0412237,inf,0,0.00316228,221.366,3167.98,12.0363,0.001004,0.000501,12.1905
1024,1024,100000,0.0200711,inf,0,0.00316228,394.658,5914.74,37.7179,0.001026,0.000497,37.8627
2,2,1000000,0.294729,0.000147755,0.294685,0.001,1.66056,9.76541,0.03898,0.00103,0.000488,0.183333
3,4,1000000,0.224597,inf,0,0.001,2.41591,19.2162,0.099944,0.001211,0.000494,0.261141
4,4,1000000,0.188991,inf,0,0.001,3.17562,29.0109,0.117919,0.001028,0.000493,0.270212
5,8,1000000,0.166707,inf,0,0.001,3.91661,38.778,0.143369,0.001015,0.000496,0.305341
6,8,1000000,0.151765,inf,0,0.001,4.63783,48.5063,0.196408,0.00107,0.000489,0.341546
7,8,1000000,0.140708,inf,0,0.001,5.34219,58.211,0.242333,0.001084,0.000489,0.38907
8,8,1000000,0.132329,inf,0,0.001,6.02461,67.795,0.272245,0.001063,0.000492,0.416102
9,16,1000000,0.125416,inf,0,0.001,6.68647,77.2666,0.324292,0.001021,0.000489,0.472897
10,16,1000000,0.119902,inf,0,0.001,7.34071,86.637,0.315303,0.001032,0.000489,0.457761
11,16,1000000,0.115149,inf,0,0.001,7.97831,95.9961,0.355651,0.001028,0.000489,0.501269
16,16,1000000,0.0997795,inf,0,0.001,11.0558,142.362,0.436158,0.001005,0.000486,0.591796
32,32,1000000,0.0794288,inf,0,0.001,19.9938,285.322,0.815651,0.001081,0.000488,0.967748
64,64,1000000,0.0658188,inf,0,0.001,36.1692,562.429,2.18433,0.001025,0.000491,2.32658
128,128,1000000,0.0560894,inf,0,0.001,65.6958,1100.18,7.47094,0.000999,0.000492,7.61358
256,256,1000000,0.0488492,inf,0,0.001,120.253,2146.07,29.3159,0.001052,0.000498,29.4742
257,512,1000000,0.048812,inf,0,0.001,120.742,2155.74,36.7784,0.001013,0.000492,36.9274
532,1024,1000000,0.0413654,inf,0,0.001,229.416,4348.4,167.684,0.001006,0.000497,167.826
1024,1024,1000000,0.019628,inf,0,0.001,410.411,8187.38,528.754,0.001063,0.000499,528.906
2,2,10000000,0.294698,4.2678e-05,0.294685,0.000316228,1.664,11.4127,0.449144,0.00117,0.000489,0.603045
3,4,10000000,0.224792,inf,0,0.000316228,2.42768,22.9623,0.701397,0.001028,0.00049,0.851912
4,4,10000000,0.189047,inf,0,0.000316228,3.19463,34.9389,0.920381,0.001006,0.000494,1.07589
5,8,10000000,0.166995,inf,0,0.000316228,3.9405,46.968,1.16119,0.001009,0.000487,1.30948
6,8,10000000,0.151944,inf,0,0.000316228,4.66938,58.9499,1.35617,0.001011,0.00049,1.5051
7,8,10000000,0.140892,inf,0,0.000316228,5.37716,70.9104,1.62609,0.001005,0.000485,1.7727
8,8,10000000,0.132389,inf,0,0.000316228,6.06475,82.7296,1.78435,0.001041,0.000488,1.93385
9,16,10000000,0.125575,inf,0,0.000316228,6.74105,94.5306,2.06591,0.00105,0.000484,2.21233
10,16,10000000,0.120008,inf,0,0.000316228,7.40233,106.253,2.21907,0.001004,0.000491,2.37363
11,16,10000000,0.115346,inf,0,0.000316228,8.04977,117.892,2.42277,0.00108,0.000488,2.56693
16,16,10000000,0.0998351,inf,0,0.000316228,11.1556,175.518,3.43573,0.001054,0.000486,3.57918
32,32,10000000,0.0795148,inf,0,0.000316228,20.205,355.26,6.71574,0.001038,0.000487,6.86683
64,64,10000000,0.0658788,inf,0,0.000316228,36.5764,705.236,23.6359,0.001025,0.000493,23.7921
128,128,10000000,0.0561629,inf,0,0.000316228,66.5477,1389.09,93.3736,0.001042,0.000498,93.527
256,256,10000000,0.0489208,inf,0,0.000316228,121.942,2727.41,377.596,0.001029,0.000497,377.741
257,512,10000000,0.0488799,inf,0,0.000316228,122.35,2738.57,464.639,0.001029,0.000497,464.799
532,1024,10000000,0.0414117,inf,0,0.000316228,232.673,5558.78,2144.01,0.001069,0.000519,2144.15
1024,1024,10000000,0.0194804,inf,0,0.000316228,416.042,10504.1,6780.89,0.001008,0.000496,6781.04
2,2,100000000,0.294673,4.24757e-05,0.294685,0.0001,1.66641,13.0767,2.8383,0.001033,0.000491,2.98285
3,4,100000000,0.224829,inf,0,0.0001,2.43184,26.7109,5.27138,0.001021,0.000488,5.42348
4,4,100000000,0.189089,inf,0,0.0001,3.20041,40.8988,7.78111,0.001005,0.000488,7.92763
5,8,100000000,0.167046,inf,0,0.0001,3.95053,55.1795,10.2778,0.001057,0.000493,10.4277
6,8,100000000,0.151978,inf,0,0.0001,4.68066,69.446,12.8556,0.001079,0.000524,12.9984
7,8,100000000,0.140923,inf,0,0.0001,5.39078,83.6497,15.379,0.001031,0.000492,15.5296
8,8,100000000,0.13242,inf,0,0.0001,6.08283,97.7831,17.9544,0.001042,0.000496,18.099
9,16,100000000,0.125616,inf,0,0.0001,6.75943,111.851,20.4502,0.001033,0.000492,20.5875
10,16,100000000,0.120051,inf,0,0.0001,7.42321,125.863,22.9288,0.001194,0.000493,23.094
11,16,100000000,0.115374,inf,0,0.0001,8.07358,139.81,25.4271,0.001034,0.000493,25.5752
16,16,100000000,0.0998436,inf,0,0.0001,11.1904,208.924,37.7382,0.001006,0.000497,37.8899
32,32,100000000,0.0795382,inf,0,0.0001,20.2764,425.52,78.2624,0.001003,0.000495,78.4153
64,64,100000000,0.0659029,inf,0,0.0001,36.674,849.015,288.597,0.001032,0.000497,288.755
128,128,100000000,0.056188,inf,0,0.0001,66.5688,1679.55,1127.77,0.001004,0.000498,1127.91
256,256,100000000,0.0489367,inf,0,0.0001,121.316,3312.1,4561.42,0.001039,0.000497,4561.57
257,512,100000000,0.0489008,inf,0,0.0001,121.738,3325.07,5634.45,0.00107,0.000499,5634.6
532,1024,100000000,0.0414297,inf,0,0.0001,228.772,6775.46,26155.2,0.001003,0.000495,26155.3
1024,1024,100000000,0.0194366,inf,0,0.0001,400.94,12851,83343.9,0.001053,0.000494,83344.1
2,2,1000000000,0.294685,2.73058e-06,0.294685,3.16228e-05,1.66657,14.7373,28.7055,0.001037,0.000491,28.8552
3,4,1000000000,0.224845,inf,0,3.16228e-05,2.43178,30.4609,56.6089,0.001057,0.000516,56.7544
4,4,1000000000,0.189084,inf,0,3.16228e-05,3.19947,46.857,85.7076,0.00103,0.000497,85.8625
5,8,1000000000,0.167066,inf,0,3.16228e-05,3.94938,63.3963,115.378,0.001033,0.000495,115.532
6,8,1000000000,0.151993,inf,0,3.16228e-05,4.6769,79.9293,144.678,0.001116,0.000498,144.855
7,8,1000000000,0.140938,inf,0,3.16228e-05,5.38397,96.4142,173.934,0.001048,0.000494,174.087
8,8,1000000000,0.132428,inf,0,3.16228e-05,6.07266,112.831,203.041,0.001004,0.000497,203.194
9,16,1000000000,0.125633,inf,0,3.16228e-05,6.74628,129.197,233.322,0.001006,0.000494,233.473
10,16,1000000000,0.120061,inf,0,3.16228e-05,7.40594,145.497,262.296,0.001029,0.000492,262.449
11,16,1000000000,0.115389,inf,0,3.16228e-05,8.05362,161.747,291.772,0.001036,0.000499,291.924
16,16,1000000000,0.0998562,inf,0,3.16228e-05,11.1348,242.328,438.085,0.001001,0.000497,438.236
32,32,1000000000,0.0795466,inf,0,3.16228e-05,20.0443,495.707,925.862,0.001004,0.0005,926.004
64,64,1000000000,0.0659116,inf,0,3.16228e-05,35.8391,992.813,3424.26,0.001034,0.000497,3424.41
128,128,1000000000,0.0561952,inf,0,3.16228e-05,63.489,1970.63,13446.8,0.001058,0.000495,13446.9
256,256,1000000000,0.0489435,inf,0,3.16228e-05,109.563,3897.65,54749.5,0.001201,0.000497,54749.6
257,512,1000000000,0.0489079,inf,0,3.16228e-05,109.905,3912.61,67304.4,0.001012,0.000499,67304.5
2,2,1410065408,0.294684,3.33738e-06,0.294685,2.66306e-05,1.66641,14.986,40.1532,0.001025,0.000524,40.8475
3,4,1410065408,0.224846,inf,0,2.66306e-05,2.43121,31.0234,80.9407,0.001057,0.000523,81.0809
4,4,1410065408,0.189087,inf,0,2.66306e-05,3.1984,47.7505,123.37,0.001006,0.000498,123.521
